1,2,3,4,5,6
22.653563,21.821281,21.52813,21.419991,19.576843,20.50552
22.653563,21.821281,21.52813,21.419991,19.576843,20.50552
22.661425,21.829298,21.534573,21.426279,19.575274,20.509762
22.661425,21.829298,21.534573,21.426279,19.575274,20.509762
22.661425,21.829298,21.534573,21.426279,19.575274,20.509762
22.667084,21.833698,21.540703,21.43178,19.576687,20.513533
22.667084,21.833698,21.540703,21.43178,19.576687,20.513533
22.667084,21.833698,21.540703,21.43178,19.576687,20.513533
22.667084,21.833698,21.540703,21.43178,19.576687,20.513533
22.674631,21.841087,21.546989,21.436966,19.577944,20.517462
22.674631,21.841087,21.546989,21.436966,19.577944,20.517462
22.674631,21.841087,21.546989,21.436966,19.577944,20.517462
22.681864,21.846903,21.552177,21.442152,19.577629,20.520132
22.681864,21.846903,21.552177,21.442152,19.577629,20.520132
22.681864,21.846903,21.552177,21.442152,19.577629,20.520132
22.687996,21.852562,21.558622,21.449697,19.577473,20.527046
22.687996,21.852562,21.558622,21.449697,19.577473,20.527046
22.687996,21.852562,21.558622,21.449697,19.577473,20.527046
22.696644,21.860107,21.565538,21.454256,19.57873,20.530504
22.696644,21.860107,21.565538,21.454256,19.57873,20.530504
22.696644,21.860107,21.565538,21.454256,19.57873,20.530504
22.703249,21.86451,21.568838,21.46117,19.5781,20.535847
22.703249,21.86451,21.568838,21.46117,19.5781,20.535847
22.703249,21.86451,21.568838,21.46117,19.5781,20.535847
22.703249,21.86451,21.568838,21.46117,19.5781,20.535847
22.712053,21.872997,21.576698,21.464943,19.579044,20.542603
22.712053,21.872997,21.576698,21.464943,19.579044,20.542603
22.712053,21.872997,21.576698,21.464943,19.579044,20.542603
22.718657,21.877871,21.582827,21.47233,19.57873,20.545588
22.718657,21.877871,21.582827,21.47233,19.57873,20.545588
22.74869,21.90255,21.60499,21.494493,19.57873,20.567743
22.74869,21.90255,21.60499,21.494493,19.57873,20.567743
22.755136,21.909309,21.61112,21.500309,19.579357,20.573559
22.755136,21.909309,21.61112,21.500309,19.579357,20.573559
22.755136,21.909309,21.61112,21.500309,19.579357,20.573559
22.76111,21.915127,21.618195,21.505966,19.579357,20.581257
22.76111,21.915127,21.618195,21.505966,19.579357,20.581257
22.76111,21.915127,21.618195,21.505966,19.579357,20.581257
22.770388,21.919685,21.624481,21.512096,19.580143,20.587385
22.770388,21.919685,21.624481,21.512096,19.580143,20.587385
22.770388,21.919685,21.624481,21.512096,19.580143,20.587385
22.776205,21.926445,21.63014,21.518856,19.579828,20.593987
22.776205,21.926445,21.63014,21.518856,19.579828,20.593987
22.776205,21.926445,21.63014,21.518856,19.579828,20.593987
22.776205,21.926445,21.63014,21.518856,19.579828,20.593987
22.783281,21.933361,21.63517,21.523727,19.579515,20.601057
22.783281,21.933361,21.63517,21.523727,19.579515,20.601057
22.783281,21.933361,21.63517,21.523727,19.579515,20.601057
22.791615,21.940592,21.642086,21.529858,19.579672,20.606871
22.791615,21.940592,21.642086,21.529858,19.579672,20.606871
22.791615,21.940592,21.642086,21.529858,19.579672,20.606871
22.796961,21.944836,21.648687,21.536303,19.581871,20.612213
22.796961,21.944836,21.648687,21.536303,19.581871,20.612213
22.796961,21.944836,21.648687,21.536303,19.581871,20.612213
22.803879,21.952381,21.654974,21.542433,19.579828,20.619757
22.803879,21.952381,21.654974,21.542433,19.579828,20.619757
22.803879,21.952381,21.654974,21.542433,19.579828,20.619757
