0,1,2,3,4
0.5,0.5,0.5,0.355932203,0.367704649
0.5,0.5,0.5,0.372881356,0.387016705
0.333333333,0.5,0.5,0.271186441,0.27102123
0.333333333,0.5,0.5,0.271186441,0.27102123
0.416666667,0.5,0.5,0.271186441,0.27102123
0.416666667,0.5,0.5,0.271186441,0.27102123
0.583333333,0.5,0.5,0.355932203,0.367704649
0.583333333,0.5,0.5,0.322033898,0.329055909
0.666666667,0.5,0.5,0.355932203,0.367704649
0.666666667,0.5,0.5,0.338983051,0.348384383
0.5,0,0.5,0.203389831,0.19352673
0.5,0,0.5,0.254237288,0.251659919
0.333333333,0,0.5,0.152542373,0.135319659
0.333333333,0,0.5,0.152542373,0.135319659
0.416666667,0,0.5,0.152542373,0.135319659
0.416666667,0,0.5,0.13559322,0.115900884
0.583333333,0,0.5,0.169491525,0.154730225
0.583333333,0,0.5,0.186440678,0.174132582
0.666666667,0,0.5,0.254237288,0.251659919
0.666666667,0,0.5,0.254237288,0.251659919
0.5,0.25,0.5,0.203389831,0.19352673
0.5,0.25,0.5,0.237288136,0.232290398
0.333333333,0.25,0.5,0.237288136,0.232290398
0.333333333,0.25,0.5,0.186440678,0.174132582
0.416666667,0.25,0.5,0.220338983,0.212912669
0.416666667,0.25,0.5,0.203389831,0.19352673
0.583333333,0.25,0.5,0.440677966,0.464182838
0.583333333,0.25,0.5,0.491525424,0.521971242
0.666666667,0.25,0.5,0.525423729,0.560455799
0.666666667,0.25,0.5,0.542372881,0.579685763
0.5,0.75,0.5,0.542372881,0.579685763
0.5,0.75,0.5,0.559322034,0.598907519
0.333333333,0.75,0.5,0.440677966,0.464182838
0.333333333,0.75,0.5,0.440677966,0.464182838
0.416666667,0.75,0.5,0.406779661,0.42561619
0.416666667,0.75,0.5,0.457627119,0.483453849
0.583333333,0.75,0.5,0.542372881,0.579685763
0.583333333,0.75,0.5,0.508474576,0.541217625
0.666666667,0.75,0.5,0.576271186,0.618121065
0.666666667,0.75,0.5,0.610169492,0.65652353
0.5,1,0.5,0.593220339,0.637326402
0.5,1,0.5,0.559322034,0.598907519
0.333333333,1,0.5,0.491525424,0.521971242
0.333333333,1,0.5,0.440677966,0.464182838
0.416666667,1,0.5,0.474576271,0.50271665
0.416666667,1,0.5,0.491525424,0.521971242
0.583333333,1,0.5,0.593220339,0.637326402
0.583333333,1,0.5,0.593220339,0.637326402
0.666666667,1,0.5,0.644067797,0.694893158
0.666666667,1,0.5,0.627118644,0.675712449
0.5,0.5,0.25,0.525423729,0.453870356
0.5,0.5,0.25,0.525423729,0.453870356
0.333333333,0.5,0.25,0.406779661,0.331982201
0.333333333,0.5,0.25,0.423728814,0.349417056
0.416666667,0.5,0.25,0.440677966,0.366844491
0.416666667,0.5,0.25,0.389830508,0.314539924
0.583333333,0.5,0.25,0.508474576,0.436480025
0.583333333,0.5,0.25,0.508474576,0.436480025
0.666666667,0.5,0.25,0.610169492,0.540710704
0.666666667,0.5,0.25,0.406779661,0.331982201
0.5,0,0.25,0.389830508,0.314176312
0.5,0,0.25,0.389830508,0.314176312
0.333333333,0,0.25,0.338983051,0.261827221
0.333333333,0,0.25,0.322033898,0.244362683
0.416666667,0,0.25,0.305084746,0.226890724
0.416666667,0,0.25,0.305084746,0.226890724
0.583333333,0,0.25,0.389830508,0.314176312
0.583333333,0,0.25,0.355932203,0.279284339
0.666666667,0,0.25,0.389830508,0.314176312
0.666666667,0,0.25,0.372881356,0.296734036
0.5,0.25,0.25,0.338983051,0.261827221
0.5,0.25,0.25,0.338983051,0.261827221
0.333333333,0.25,0.25,0.322033898,0.244362683
0.333333333,0.25,0.25,0.305084746,0.226890724
0.416666667,0.25,0.25,0.305084746,0.226890724
0.416666667,0.25,0.25,0.288135593,0.209411344
0.583333333,0.25,0.25,0.355932203,0.279284339
0.583333333,0.25,0.25,0.355932203,0.279284339
0.666666667,0.25,0.25,0.389830508,0.314176312
0.666666667,0.25,0.25,0.440677966,0.366458617
0.5,0.75,0.25,0.457627119,0.384264506
0.5,0.75,0.25,0.457627119,0.384264506
0.333333333,0.75,0.25,0.372881356,0.297090228
0.333333333,0.75,0.25,0.372881356,0.297090228
0.416666667,0.75,0.25,0.389830508,0.314539924
0.416666667,0.75,0.25,0.491525424,0.419082272
0.583333333,0.75,0.25,0.491525424,0.419082272
0.583333333,0.75,0.25,0.508474576,0.436480025
0.666666667,0.75,0.25,0.508474576,0.436480025
0.666666667,0.75,0.25,0.457627119,0.384264506
0.5,1,0.25,0.440677966,0.366844491
0.5,1,0.25,0.457627119,0.384264506
0.333333333,1,0.25,0.372881356,0.297090228
0.333333333,1,0.25,0.372881356,0.297090228
0.416666667,1,0.25,0.372881356,0.297090228
0.416666667,1,0.25,0.372881356,0.297090228
0.583333333,1,0.25,0.457627119,0.384264506
0.583333333,1,0.25,0.440677966,0.366844491
0.666666667,1,0.25,0.491525424,0.419082272
0.666666667,1,0.25,0.474576271,0.401677099
0.5,0.5,0.375,0.305084746,0.273544629
0.5,0.5,0.375,0.288135593,0.255014524
0.333333333,0.5,0.375,0.237288136,0.199377008
0.333333333,0.5,0.375,0.254237288,0.217930714
0.416666667,0.5,0.375,0.254237288,0.217930714
0.416666667,0.5,0.375,0.288135593,0.255014524
0.583333333,0.5,0.375,0.322033898,0.292066868
0.583333333,0.5,0.375,0.305084746,0.273544629
0.666666667,0.5,0.375,0.322033898,0.292066868
0.666666667,0.5,0.375,0.338983051,0.310581239
0.5,0,0.375,0.186440678,0.143668692
0.5,0,0.375,0.203389831,0.162245998
0.333333333,0,0.375,0.118644068,0.069280802
0.333333333,0,0.375,0.118644068,0.069280802
0.416666667,0,0.375,0.152542373,0.106490481
0.416666667,0,0.375,0.152542373,0.106490481
0.583333333,0,0.375,0.186440678,0.143668692
0.583333333,0,0.375,0.203389831,0.162245998
0.666666667,0,0.375,0.237288136,0.199377008
0.666666667,0,0.375,0.237288136,0.199377008
0.5,0.25,0.375,0.474576271,0.45841301
0.5,0.25,0.375,0.440677966,0.421502267
