0,1,2,3,4
0.5,0.5,0.5,0.235,4.015261835
0.5,0.5,0.5,0.24,4.099830179
0.333333333,0.5,0.5,0.21,3.591880891
0.333333333,0.5,0.5,0.21,3.591880891
0.416666667,0.5,0.5,0.21,3.591880891
0.416666667,0.5,0.5,0.21,3.591880891
0.583333333,0.5,0.5,0.235,4.015261835
0.583333333,0.5,0.5,0.225,3.846017302
0.666666667,0.5,0.5,0.235,4.015261835
0.666666667,0.5,0.5,0.23,3.930657543
0.5,0,0.5,0.19,3.252529066
0.5,0,0.5,0.205,3.507096857
0.333333333,0,0.5,0.175,2.997637741
0.333333333,0,0.5,0.175,2.997637741
0.416666667,0,0.5,0.175,2.997637741
0.416666667,0,0.5,0.17,2.912602069
0.583333333,0,0.5,0.18,3.082637464
0.583333333,0,0.5,0.185,3.167601239
0.666666667,0,0.5,0.205,3.507096857
0.666666667,0,0.5,0.205,3.507096857
0.5,0.25,0.5,0.19,3.252529066
0.5,0.25,0.5,0.2,3.422276875
0.333333333,0.25,0.5,0.2,3.422276875
0.333333333,0.25,0.5,0.185,3.167601239
0.416666667,0.25,0.5,0.195,3.337420945
0.416666667,0.25,0.5,0.19,3.252529066
0.583333333,0.25,0.5,0.26,4.437744072
0.583333333,0.25,0.5,0.275,4.690802035
0.666666667,0.25,0.5,0.285,4.859327602
0.666666667,0.25,0.5,0.29,4.943536463
0.5,0.75,0.5,0.29,4.943536463
0.5,0.75,0.5,0.295,5.027709376
0.333333333,0.75,0.5,0.26,4.437744072
0.333333333,0.75,0.5,0.26,4.437744072
0.416666667,0.75,0.5,0.25,4.268859022
0.416666667,0.75,0.5,0.265,4.522132675
0.583333333,0.75,0.5,0.29,4.943536463
0.583333333,0.75,0.5,0.28,4.775082793
0.666666667,0.75,0.5,0.3,5.111846341
0.666666667,0.75,0.5,0.31,5.280012425
0.5,1,0.5,0.305,5.195947357
0.5,1,0.5,0.295,5.027709376
0.333333333,1,0.5,0.275,4.690802035
0.333333333,1,0.5,0.26,4.437744072
0.416666667,1,0.5,0.27,4.606485329
0.416666667,1,0.5,0.275,4.690802035
0.583333333,1,0.5,0.305,5.195947357
0.583333333,1,0.5,0.305,5.195947357
0.666666667,1,0.5,0.32,5.448034716
0.666666667,1,0.5,0.315,5.364041545
0.5,0.5,0.25,0.285,4.39258526
0.5,0.5,0.25,0.285,4.39258526
0.333333333,0.5,0.25,0.25,3.858831665
0.333333333,0.5,0.25,0.255,3.935179664
0.416666667,0.5,0.25,0.26,4.011495169
0.416666667,0.5,0.25,0.245,3.782451169
0.583333333,0.5,0.25,0.28,4.316432233
0.583333333,0.5,0.25,0.28,4.316432233
0.666666667,0.5,0.25,0.31,4.772862966
0.666666667,0.5,0.25,0.25,3.858831665
0.5,0,0.25,0.245,3.780858893
0.5,0,0.25,0.245,3.780858893
0.333333333,0,0.25,0.23,3.551619921
0.333333333,0,0.25,0.225,3.475141939
0.416666667,0,0.25,0.22,3.398631462
0.416666667,0,0.25,0.22,3.398631462
0.583333333,0,0.25,0.245,3.780858893
0.583333333,0,0.25,0.235,3.628065407
0.666666667,0,0.25,0.245,3.780858893
0.666666667,0,0.25,0.24,3.704478398
0.5,0.25,0.25,0.23,3.551619921
0.5,0.25,0.25,0.23,3.551619921
0.333333333,0.25,0.25,0.225,3.475141939
0.333333333,0.25,0.25,0.22,3.398631462
0.416666667,0.25,0.25,0.22,3.398631462
0.416666667,0.25,0.25,0.215,3.32208849
0.583333333,0.25,0.25,0.235,3.628065407
0.583333333,0.25,0.25,0.235,3.628065407
0.666666667,0.25,0.25,0.245,3.780858893
0.666666667,0.25,0.25,0.26,4.009805407
0.5,0.75,0.25,0.265,4.087778178
0.5,0.75,0.25,0.265,4.087778178
0.333333333,0.75,0.25,0.24,3.706038178
0.333333333,0.75,0.25,0.24,3.706038178
0.416666667,0.75,0.25,0.245,3.782451169
0.416666667,0.75,0.25,0.275,4.24024671
